#Last updated: 20240916
#imageDescription	imageFileName	publicationId	pubFigure	permission
GAL4[109(2)80] neuron.jpg	FBal0102847_1.jpg	FBrf0209127	Figure 7D	open access
GAL4[1151].png	FBal0065231_1.png	FBrf0193570	Figure S1A	open access
GAL4[1471].jpeg	FBal0155905_1.jpeg	FBrf0207600	Figure 4A	open access
GAL4[17d].jpg	FBal0094031_1.jpg	FBrf0210655	Figure 2A	open access
GAL4[21D].png	FBal0241837_1.png	FBrf0210240	Figure 5E1, 5F1	open access
GAL4[221].png	FBal0328157_1.png	FBrf0222810	Figure S4A	open access
GAL4[238Y].jpeg	FBal0048769_1.jpeg	FBrf0207600	Figure 6F	open access
GAL4[30A] medulla.jpg	FBal0040461_1.jpg	FBrf0226257	Figure 3A	open access
GAL4[30A] wing disc.jpg	FBal0040461_2.jpg	FBrf0218841	Figure 6C	open access
GAL4[30Y].jpeg	FBal0048770_1.jpeg	FBrf0207600	Figure 6D	open access
GAL4[32B].jpg	FBal0040463_1.jpg	FBrf0107953	Figure 3D	open access
GAL4[386Y].png	FBal0126486_1.png	FBrf0210838	Figure S4C	open access
GAL4[477].png	FBal0144598_1.png	FBrf0212836	Figure 3A	open access
GAL4[55B].png	FBal0279486_1.png	FBrf0213770	Figure S7	open access
GAL4[A9].jpg	FBal0083456_1.jpg	FBrf0220378	Figure 2B	open access
GAL4[acj6-PG63] adPN.png	FBal0130674_2.png	FBrf0211729	Figure 2N	open access
GAL4[Act88F.1.3].png	FBal0244762_1.png	FBrf0210960	Figure 5A, 5C	open access
GAL4[Alp4-c232].png	FBal0048785_1.png	FBrf0201454	Figure 2A	open access
GAL4[ap-md544] wing disc.jpg	FBal0052383_1.jpg	FBrf0229795	Figure 3A	open access
GAL4[Appl.G1a].png	FBal0097154_1.png	FBrf0230282	Figure S1A, S1B	open access
GAL4[ase.neuro].png	FBal0197462_1.png	FBrf0223411	Figure S2A	open access
GAL4[Aug21].jpg	FBal0150630_1.jpg	FBrf0223217	Figure 1C	open access
GAL4[bbg-C96].png	FBal0052389_1.png	FBrf0225787	Figure 2A	open access
GAL4[bi-md653].png	FBal0052382_1.png	FBrf0227821	Figure S6	open access
GAL4[bi-omb-Gal4].png	FBal0052381_1.png	FBrf0223384	Figure 4A"	open access
GAL4[Bx-MS1096].jpg	FBal0040476_1.jpg	FBrf0183733	Figure 1A	open access
GAL4[c305a].png	FBal0215258_1.png	FBrf0214737	Figure S3	open access
GAL4[c306].jpg	FBal0048787_1.jpg	FBrf0220692	Figure 2E	open access
GAL4[c309].jpeg	FBal0058765_1.jpeg	FBrf0207600	Figure 6A	open access
GAL4[c564].png	FBal0042568_1.png	FBrf0221307	Figure 3B	open access
GAL4[C57].png	FBal0117655_1.png	FBrf0209730	Figure S10B	open access
GAL4[C587].jpg	FBal0150629_1.jpg	FBrf0235924	Figure 2B	open access
GAL4[c739].jpeg	FBal0048789_1.jpeg	FBrf0207600	Figure 2F	open access
GAL4[c747].jpeg	FBal0066070_1.jpeg	FBrf0207600	Figure 6C	open access
GAL4[CCAP.PP].jpg	FBal0150627_1.jpg	FBrf0217858	Figure 1A, 1B	open access
GAL4[Cg.PA] fat body.png	FBal0104726_2.png	FBrf0228806	Figure S5B, S5C	open access
GAL4[ChAT.7.4] neuron.png	FBal0126489_1.png	FBrf0214030	Figure S5A3	open access
GAL4[ChAT.7.4] optic lobe.jpg	FBal0126489_2.jpg	FBrf0206024	Figure 10A	open access
GAL4[cry.PE].png	FBal0118345_1.png	FBrf0214354	Figure 1A	open access
GAL4[cv-c-C5].jpg	FBal0243736_1.jpg	FBrf0224193	Figure 3A	open access
GAL4[Ddc.PL].png	FBal0104725_1.png	FBrf0210246	Figure 10A1	open access
GAL4[Desat1.PB] female.PNG	FBal0243539_2.PNG	FBrf0232723	Figure 6B	open access
GAL4[Desat1.PB] male.PNG	FBal0243539_1.PNG	FBrf0232723	Figure 6A	open access
GAL4[dimm-929].png	FBal0060673_1.png	FBrf0210278	Figure 1C	open access
GAL4[dpp.blk1].png	FBal0040480_1.png	FBrf0218242	Figure 5A'	open access
GAL4[e22c] follicle cell.png	FBal0048791_1.png	FBrf0220692	Figure 2A	open access
GAL4[Eaat1.PR].jpg	FBal0159810_1.jpg	FBrf0226711	Figure 4D	open access
GAL4[elav-C155].png	FBal0047071_1.png	FBrf0226088	Figure 3A	open access
GAL4[elav.PLu].png	FBal0042579_1.png	FBrf0224459	Figure S5C	open access
GAL4[elav.Switch.PO].jpg	FBal0128065_1.jpg	FBrf0139796	Figure 2A	open access
GAL4[en-e16E] posterior wing.png	FBal0052377_1.png	FBrf0235670	Figure 1E	open access
GAL4[esg-NP5130] enteroblast.jpg	FBal0098823_2.jpg	FBrf0239091	Figure 3C	open access
GAL4[esg-NP5130] histoblast.png	FBal0098823_1.png	FBrf0207777	Figure 1A	open access
GAL4[eve.RN2].png	FBal0152207_1.png	FBrf0221647	Figure 3B	open access
GAL4[ey-OK107].jpeg	FBal0058772_1.jpeg	FBrf0207600	Figure 6G	open access
GAL4[fru-NP0021].png	FBal0220176_1.png	FBrf0234261	Figure S6A	open access
GAL4[fru.P1.D].jpg	FBal0276838_1.jpg	FBrf0239445	Figure 1B	open access
GAL4[futsch-C380].jpg	FBal0117656_1.jpg	FBrf0161961	Figure 1L	open access
GAL4[G14].png	FBal0091772_1.png	FBrf0224459	Figure S5B	open access
GAL4[Gad1.3.098] GABAergic.jpg	FBal0144596_1.jpg	FBrf0206024	Figure 14	open access
GAL4[Gad1.3.098] interneuron.jpg	FBal0144596_2.jpg	FBrf0234261	Figure 3E	open access
GAL4[GH146].png	FBal0218122_1.png	FBrf0210616	Figure 3A	open access
GAL4[GH298].jpg	FBal0061905_1.jpg	FBrf0235305	Figure 4J	open access
GAL4[GMR.PF].jpg	FBal0244011_1.jpg	FBrf0226257	Figure 2B	open access
GAL4[GMR57C10].jpg	FBal0256396_1.jpg	FBrf0228639	Figure 4B	open access
GAL4[GMR58E02].jpg	FBal0253714_1.jpg	FBrf0226027	Figure 3A	open access
GAL4[GMR9D11].jpg	FBal0283380_1.jpg	FBrf0221883	Figure 1A	open access
GAL4[GR1].png	FBal0155874_1.png	FBrf0231184	Figure S1	open access
GAL4[Gr21a.9.323] antenna.jpg	FBal0125316_1.jpg	FBrf0192797	Figure 1E	open access
GAL4[Gr5a.8.5] CNS.jpg	FBal0155850_2.jpg	FBrf0231007	Figure 3A	open access
GAL4[Gr5a.8.5] surface receptors.jpg	FBal0155850_1.jpg	FBrf0168006	Figure 1	open access
GAL4[Gr64f.9.7].png	FBal0249509_1.png	FBrf0234627	Figure S3	open access
GAL4[Gr66a.PD].jpg	FBal0125295_1.jpg	FBrf0233513	Figure 2D	open access
GAL4[H24].jpeg	FBal0117654_1.jpeg	FBrf0207600	Figure 4B	open access
GAL4[He.PZ].jpg	FBal0175808_1.jpg	FBrf0180639	Figure 1	open access
GAL4[Hml.delta].jpg	FBal0220827_1.jpg	FBrf0227775	Figure 3C	open access
GAL4[Hml.PG].png	FBal0128083_1.png	FBrf0188209	Figure 4I	open access
GAL4[hs.2sev].png	FBal0042580_1.png	FBrf0222093	Figure 1E	open access
GAL4[hs.PB].png	FBal0040484_1.png	FBrf0205257	Figure 2D	open access
GAL4[Ilp2.PR].png	FBal0137378_1.png	FBrf0228915	Figure S3	open access
GAL4[kra-krasavietz].png	FBal0147467_1.png	FBrf0239187	Figure S1	open access
GAL4[l.Trh.PK].png	FBal0246203_1.png	FBrf0210961	Figure 3A	open access
GAL4[lilli-189Y].png	FBal0065092_1.png	FBrf0210514	Figure 3E	open access
GAL4[Lsp2.PH].jpg	FBal0126487_1.jpg	FBrf0214770	Figure 4F	open access
GAL4[lz-gal4] eye.jpg	FBal0117646_2.jpg	FBrf0209609	Figure 4G	open access
GAL4[lz-gal4] hemo.png	FBal0117646_1.png	FBrf0213211	Figure 3K, 3L	open access
GAL4[Mai179] neurosecretory.jpg	FBal0124017_1.jpg	FBrf0206024	Figure 16C1, 16C2	open access
GAL4[Mai179] s-LNv.png	FBal0124017_2.png	FBrf0209505	Figure S2E	open access
GAL4[Mef2.247.Switch].jpg	FBal0155866_1.jpg	FBrf0168011	Figure 1B	open access
GAL4[Mef2.247].jpeg	FBal0246857_1.jpeg	FBrf0207600	Figure 4E	open access
GAL4[Mef2.PR].jpg	FBal0052385_1.jpg	FBrf0228408	Figure 4	open access
GAL4[Mhc.F3-580].jpg	FBal0244763_1.jpg	FBrf0128659	Figure 4B	open access
GAL4[Mhc.PW].jpg	FBal0058793_1.jpg	FBrf0192758	Figure 1A	open access
GAL4[Mhc.Switch.PO].jpg	FBal0128082_1.jpg	FBrf0139796	Figure 5A	open access
GAL4[NP1131].jpeg	FBal0245042_1.jpeg	FBrf0207600	Figure 5A	open access
GAL4[NP1227].jpeg	FBal0246282_1.jpeg	FBrf0207001	Figure S2A	open access
GAL4[NP2631] eye.png	FBal0245052_2.png	FBrf0225842	Figure S3A'	open access
GAL4[OK72].png	FBal0279490_1.png	FBrf0208420	Figure 4A, 4B	open access
GAL4[P0206].png	FBal0134154_1.png	FBrf0217066	Figure S3	open access
GAL4[slbo.2.6].png	FBal0089668_1.png	FBrf0213770	Figure S7	open access
GAL4[smid-C161].jpg	FBal0230516_1.jpg	FBrf0209127	Figure 8A	open access
GAL4[T155].png	FBal0042559_1.png	FBrf0213770	Figure S7	open access
GAL4[Tab2-201Y].jpeg	FBal0048768_1.jpeg	FBrf0207600	Figure 5B	open access
GAL4[Ugt36A1.PK] PDF neuron.png	FBal0138419_1.png	FBrf0209505	Figure S2	open access
GAL4[12.1] embryonic/larval peripheral nervous system, sensory neuron	FBal0118377_2.png	FBrf0219665	Figure 5B	open access
GAL4[12.1] embryonic/larval peripheral nervous system, sensory neuron	FBal0118377_1.png	FBrf0174703	Figure 6	granted access
GAL4[332.3] amnioserosa, embryonic/larval salivary gland	FBal0042549_1.jpeg	FBrf0147105	Figure 1F, 1H	granted access
GAL4[455.2] embryonic hindgut	FBal0040464_1.png	FBrf0132294	Figure 2E, 2F	granted access
GAL4[48Y] embryonic midgut	FBal0063393_1.png	FBrf0111966	Figure 1A-F'	granted access
GAL4[69B] ectoderm	FBal0040470_1.jpeg	FBrf0135803	Figure 2C	open access
GAL4[71B] wing hinge, wing cell,wing pouch	FBal0040471_1.jpeg	FBrf0219175	Figure 1B	granted access
GAL4[AB1] salivary gland	FBal0094753_1.jpeg	FBrf0235445	Figure 1I	granted access
GAL4[Abd-B-LDN] embryonic genital disc	FBal0191375_2.jpeg	FBrf0190286	Figure 1H-I	granted access
GAL4[Abd-B-LDN] genital disc, abdominal segment	FBal0191375_1.jpeg	FBrf0211045	Figure 7B	granted access
GAL4[Abd-B-LDN] female genitalia	FBal0191375_3.jpeg	FBrf0190286	Figure 6I-J	granted access
GAL4[Akh.PL] ring gland, corpus cardiacum	FBal0155893_1.jpeg	FBrf0178933	Figure 4A	granted access
GAL4[alrm.PD] reticular neuropil associated glial cell  ADD LARVAL STAGE TO FUG4 CURATION	FBal0260884_1.jpg	FBrf0223753	Figure 1A	open access
GAL4[alrm.PD] reticular neuropil associated glial cell  ADD LARVAL STAGE TO FUG4 CURATION	FBal0260884_2.png	FBrf0228044	Figure 1	open access
GAL4[bab1-Agal4-5] somatic cell of ovary germarium cap cell  terminal filament	FBal0141491_1.jpeg	FBrf0223237	Figure 1B	granted access
GAL4[bs-1348] wing cell  presumptive intervein	FBal0060675_1.png	FBrf0092741	Figure 6A	granted access
GAL4[btl.PS] tracheal system, tracheal primordium	FBal0052380_1.jpeg	FBrf0234014	Figure 1A, 1A', 1B, 1B'	granted access
GAL4[byn-Gal4] embryonic hindgut	FBal0123098_1.png	FBrf0219128	Figure S5B	open access
GAL4[C-765] wing disc, leg disc	FBal0047057_1.jpg	FBrf0220378	Figure 2D	granted access
GAL4[c381] amnioserosa	FBal0063335_1.jpeg	FBrf0203016	Figure 1A, 1B	granted access
GAL4[C587] cyst cell	FBal0150629_2.png	FBrf0234508	Figure 1B, 1D	open access
GAL4[C855a] optic lobe neuroepithelial cell	FBal0141530_1.jpeg	FBrf0223182	Figure 2A, A'	granted access
GAL4[C855a] optic lobe neuroepithelial cell	FBal0141530_2.jpeg	FBrf0223182	Figure 1B-E	granted access
GAL4[Cg.PA] hemocyte	FBal0104726_1.jpeg	FBrf0187467	Figure 2A	granted access
GAL4[Desat1.PB] oenocyte	FBal0243539_3.png	FBrf0232723	Figure 6A	open access
GAL4[Desat1.PB] oenocyte	FBal0243539_4.png	FBrf0232723	Figure 6C	open access
GAL4[Dll-md23] presumptive arista, presumptive second segment of antenna, presumptive third segment of antenna, presumptive tarsal segment 2-5, presumptive wing margin	FBal0052388_1.jpeg	FBrf0200370	Figure 6A	granted access
GAL4[Dll-md23] presumptive arista, presumptive second segment of antenna, presumptive third segment of antenna, presumptive tarsal segment 2-5, presumptive wing margin	FBal0052388_2.jpeg	FBrf0211845	Figure 1c	granted access
GAL4[dome-PG14] medullary zone of lymph gland primary lobe ; prohemocyte	FBal0130657_1.jpeg	FBrf0187467	Figure 3B	granted access
GAL4[dpp.PS] 	FBal0138409_1.jpeg	FBrf0216551	Figure 1G	granted access
GAL4[eg-Mz360] EG neuron, EW neuron	FBal0061871_1.png	FBrf0214030	Figure 3E-F	open access
GAL4[en-e16E] segment polarity expression pattern	FBal0052377_2.jpeg	FBrf0223464	Figure 2A, 2D, 2G	open access
GAL4[ey.PH] eye disc	FBal0093300_1.jpeg	FBrf0218825	Figure 8B	granted access
GAL4[fkh.PH] salivary gland, salivary gland primordium	FBal0103972_1.jpeg	FBrf0151924	Figure 7A	granted access
GAL4[ftz.ng] embryonic/larval motor neuron; ring neuron R4	FBal0047073_1.png	FBrf0098258	Figure 3A	granted access
GAL4[GMR.long] eye photoreceptor cell	FBal0152221_1.png	FBrf0241587	Figure 4f	open access
GAL4[h-1J3] pair rule expression pattern, eye disc anterior to the morphogenetic furrow	FBal0040482_1.png	FBrf0064375	Figure 3A	granted access
GAL4[HCH.Hand] cardial cell, embryonic/larval heart, cardioblast, adult heart, pericardial cell	FBal0190607_1.jpg	FBrf0190292	Figure 2E	granted access
GAL4[hh-Gal4] embryonic brain, foregut wing disc posterior compartment	FBal0121962_1.jpg	FBrf0180154	Figure 7A	granted access
GAL4[how-24B] muscle system	FBal0279489_2.jpg	FBrf0226516	Figure 3A	open access
GAL4[how-24B] mesoderm	FBal0279489_1.png	FBrf0064375	Figure 3B	granted access
GAL4[insc-Mz1407] nervous system, neuroblast	FBal0278258_1.png	FBrf0239793	Figure S6D	granted access
GAL4[kirre-rP298-G4] muscle cell, muscle founder cell	FBal0147459_1.jpg	FBrf0222439	Figure 2A	granted access
GAL4[nanos.PG] female germline cell	FBal0085988_1.png	FBrf0227449	Figure 2A	open access
GAL4[NP2222] cortex glia	FBal0260979_1.png	FBrf0242895	Figure 3C	open access
GAL4[NPF.1] peptidergic neuron; LNd neuron	FBal0152204_1.png	FBrf0235424	Figure S1B	open access
GAL4[nrv2.PS] neuron	FBal0101539_1.png	FBrf0224459	Figure S5D	open access
GAL4[nSyb.PS] neuron	FBal0230185_1.png	FBrf0234999	Figure S2	granted access
GAL4[nub-AC-62] wing pouch	FBal0117644_1.png	FBrf0217590	Figure 2C	open access
GAL4[Or22a.7.717] antennal lobe glomerulus DM2; adult olfactory receptor neuron Or22	FBal0118366_1.png	FBrf0235102	Figure S3	open access
GAL4[Or22a.7.717] antennal lobe glomerulus DM2; adult olfactory receptor neuron Or22	FBal0118366_2.png	FBrf0220272	Figure 3A1	open access
GAL4[Orco.2.642.Hsim\VP22] antennal lobe projection neuron; olfactory receptor neuron	FBal0144592_1.png	FBrf0192657	Figure 3A	open access
GAL4[P2.4.Pdf] LNv neuron; Pdf neuron	FBal0102840_1.png	FBrf0204940	Figure S3	open access
GAL4[Pan-R7] photoreceptor cell R7	FBal0124010_1.jpg	FBrf0226257	Figure 2	open access
GAL4[per.PK] pacemaker neuron; l-LNv neuron; s-LNv neuron	FBal0060668_1.png	FBrf0213838	Figure 7A	open access
GAL4[ptc-559.1] pair rule expression pattern; anterior-posterior compartment boundary of the wing disc	FBal0040487_1.jpeg	FBrf0135803	Figure 2K, K', K''	granted access
GAL4[Rh5.PT] 	FBal0117649_3.png	FBrf0134582	Figure 4H	granted access
GAL4[Rh5.PT] 	FBal0117649_2.jpg	FBrf0144829	Figure 7C-D	granted access
